anime_id,Name,Genres,Other name,Score,Type
43288,Tsukiusa. Gekijou,Comedy,ツキウサ。劇場,UNKNOWN,ONA
43291,Mu Wang Zhi Wang: You Du Zhan,"Action, Adventure, Romance",墓王之王幽都战,UNKNOWN,ONA
43293,Kaitai Shita Inu no Blues,Avant Garde,懐胎した犬のブルース,5.59,Music
43297,Da Zhentan Fuermosi: Tao Yu Da Zhuibu,"Adventure, Mystery",大侦探福尔摩斯：逃狱大追捕,UNKNOWN,Movie
43299,Wonder Egg Priority,"Drama, Fantasy",ワンダーエッグ・プライオリティ,7.63,TV
43309,Dan Zhu Chuan Shuo,"Action, Fantasy",弹珠传说,UNKNOWN,TV
43318,Because,Avant Garde,because,5.55,Music
43321,Cancerfund x Din Dong CM's,Comedy,Cancerfund x 癲噹,UNKNOWN,Special
43322,Yue Chen,Sci-Fi,月尘,UNKNOWN,TV
43323,Timeless Tree,Avant Garde,timeless tree,UNKNOWN,Music
43325,Yuukoku no Moriarty Part 2,"Mystery, Suspense",憂国のモリアーティ,8.27,TV
43329,Da Nao Hua Shi,Comedy,大鬧畫室,UNKNOWN,Movie
43333,Zhi Ren Dao Luan Ji,Comedy,纸人捣乱记,UNKNOWN,Movie
43349,Sekikashita Kusanagi,"Comedy, Sci-Fi",石化した草薙,7.26,ONA
43350,Gebäude Bäude,"Comedy, Sci-Fi",ゲボイデ＝ボイデ,6.03,TV
43351,Sign (2019),Avant Garde,sign,5.95,Music
43353,Bear Bear Bear Kuma!,Comedy,べあべあべあくまー！,6.57,ONA
43356,McDull and McMug,Comedy,麦兜与麦唛,UNKNOWN,TV
43385,Around the World!,Avant Garde,UNKNOWN,UNKNOWN,Movie
43387,Dalbitkungkwol,"Adventure, Fantasy",달빛궁궐,UNKNOWN,Movie
43396,Ge Sheng Fei Chu Wuzhishan,"Drama, Fantasy",歌声飞出五指山,UNKNOWN,Movie
43397,Harmonia feat. Makoto,Avant Garde,ハルモニア feat. Makoto,5.99,Music
43412,Qiguai de Qiusai,Sports,奇怪的球赛,UNKNOWN,Movie
43413,Chiyuki no Fashion Check,Comedy,千雪のファッションチェック,5.4,ONA
43416,Kaoru no Taisetsu na Mono,Comedy,カオルの大切なモノ,UNKNOWN,TV
43417,Pocari Sweat Run Carnival 2019,Sports,Pocari Sweat Run Carnival 2019,5.52,Special
43418,Citrus (Music),Avant Garde,Citrus,5.83,Music
43419,Yubi no Sukima-chan,Avant Garde,指のすきまちゃん,5.04,Movie
43426,Taimanin Asagi: Toraware no Niku Ningyou,"Supernatural, Hentai",対魔忍アサギ～捕らわれの肉人形～,6.03,OVA
43428,Youkina Fuukei-tachi,Avant Garde,陽気な風景たち,UNKNOWN,Movie
43429,Matierica,Avant Garde,マチェーリカ,UNKNOWN,Movie
43430,Yamakawa Keiko-san wa Furimukanai,Avant Garde,山川景子は振り向かない,UNKNOWN,Movie
43431,Henkei Sakuhin Dai 5-ban: Rembrandt no Shudai ni yoru Henkei Kaitai to Saikousei,Avant Garde,変形作品第５番＜レンブラントの主題による変形解体と再構成＞,UNKNOWN,Movie
43432,Umi no Uta,Avant Garde,海の唄,UNKNOWN,Movie
43433,Alice no Kisetsu,Fantasy,アリスの季節,UNKNOWN,Music
43434,Shuo Feng: Po Zhen Zi,"Action, Adventure",朔风—破阵子,UNKNOWN,Movie
43438,Haiiro no Saga,"Fantasy, Supernatural",灰色のサーガ,6.28,Music
43439,Shadows House,"Fantasy, Mystery",シャドーハウス,7.79,TV
43444,Boukentai: Mori no Yuusha,Drama,冒険隊 〜森の勇者〜,6.36,Music
43465,Ijirare: Fukushuu Saimin,Hentai,イジラレ ～復讐催○～,7.4,OVA
43466,Himawari wa Yoru ni Saku,Hentai,向日葵ハ夜ニ咲ク,6.78,ONA
43467,Ajisai no Chiru Koro ni,Hentai,紫陽花の散ル頃に,6.42,ONA
43470,Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,"Comedy, Romance",理系が恋に落ちたので証明してみた。r=1-sinθ（ハート）,7.31,TV
43481,Your Thorn,Avant Garde,UNKNOWN,UNKNOWN,Music
43482,With My Umbrella,Avant Garde,With My Umbrella,UNKNOWN,Music
43483,Toaru Kagaku no Railgun T: Motto Marutto Railgun,Comedy,とある科学の超電磁砲T もっとまるっと超電磁砲,6.83,Special
43506,Alice Gear Aegis: Doki! Actress Darake no Mermaid Grand Prix♥,Action,アリス・ギア・アイギス ～ドキッ！アクトレスだらけのマーメイドグランプリ♥～,5.48,OVA
43523,Tsuki ga Michibiku Isekai Douchuu,"Action, Adventure, Comedy, Fantasy",月が導く異世界道中,7.71,TV
43532,Mushi no Tsubuyaki,Adventure,虫のつぶやき,UNKNOWN,Music
43550,Yume Miteru Wake ja Nai yo,"Comedy, Sci-Fi",夢みてるわけじゃないよ,UNKNOWN,Music
